序号,服务,模块,端口,请求方法,接口路径,Controller,处理方法,接口说明,源码位置,映射注解行,处理方法行,映射注解
1,qdata-ai,ai-standalone,8087,POST,/chat/conversation,ChatConversationController,add,新增ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,81,82,@PostMapping
2,qdata-ai,ai-standalone,8087,PUT,/chat/conversation,ChatConversationController,edit,修改ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,92,93,@PutMapping
3,qdata-ai,ai-standalone,8087,GET,/chat/conversation/myList,ChatConversationController,myList,查询ai聊天对话列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,66,67,@GetMapping
4,qdata-ai,ai-standalone,8087,POST,/chat/conversation/setAssociations,ChatConversationController,associations,设置关联关系,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,107,108,@PostMapping
5,qdata-ai,ai-standalone,8087,DELETE,/chat/conversation/{ids},ChatConversationController,remove,删除ai聊天对话,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,101,102,@DeleteMapping
6,qdata-ai,ai-standalone,8087,GET,/chat/conversation/{id},ChatConversationController,getInfo,获取ai聊天对话详细信息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatConversationController.java,74,75,@GetMapping
7,qdata-ai,ai-standalone,8087,DELETE,/chat/message/deleteByConversationId,ChatMessageController,deleteByConversationId,清空会话聊天消息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,98,99,@DeleteMapping
8,qdata-ai,ai-standalone,8087,GET,/chat/message/exportDetailData,ChatMessageController,sendChatMessageStream,导出智能图表的明细数据,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,107,108,@GetMapping
9,qdata-ai,ai-standalone,8087,GET,/chat/message/list-by-conversation-id,ChatMessageController,getChatMessageListByConversationId,获得指定对话的消息列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,79,80,@GetMapping
10,qdata-ai,ai-standalone,8087,POST,/chat/message/send-stream,ChatMessageController,sendChatMessageStream,发送消息（流式）,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,70,71,@PostMapping
11,qdata-ai,ai-standalone,8087,DELETE,/chat/message/{ids},ChatMessageController,remove,删除ai聊天消息,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/chat/ChatMessageController.java,92,93,@DeleteMapping
12,qdata-ai,ai-standalone,8087,GET,/model/list,ModelController,list,模型列表,qdata-ai/qdata-ai-server/src/main/java/tech/qiantong/qdata/ai/controller/admin/model/ModelController.java,54,55,@GetMapping
13,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateDataCheck,QualityTaskExecutorController,generateDataCheck,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,121,122,@PostMapping
14,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateValidationErrorDataSql,QualityTaskExecutorController,generateValidationErrorDataSql,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,96,97,@PostMapping
15,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/generateValidationValidDataSql,QualityTaskExecutorController,generateValidationValidDataSql,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,86,87,@PostMapping
16,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/pageErrorData,QualityTaskExecutorController,pageErrorData,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,62,63,@PostMapping
17,qdata-quality,quality,8083,PUT,/quality/qualityTaskExecutor/runExecuteTask/{id},QualityTaskExecutorController,runExecuteTask,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,108,109,@PutMapping
18,qdata-quality,quality,8083,POST,/quality/qualityTaskExecutor/updateErrorData,QualityTaskExecutorController,updateErrorData,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/quality/QualityTaskExecutorController.java,74,75,@PostMapping
19,qdata-quality,quality,8083,POST,/test/test2,TestController,test2,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/da/TestController.java,55,56,@PostMapping
20,qdata-quality,quality,8083,POST,/test/test3,TestController,test3,,qdata-quality/src/main/java/tech/qiantong/qdata/quality/controller/da/TestController.java,62,63,@PostMapping
21,qdata-server,ai,8080,POST,/ai/chatConversation,AiChatConversationController,add,新增ai聊天对话,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,92,93,@PostMapping
22,qdata-server,ai,8080,PUT,/ai/chatConversation,AiChatConversationController,edit,修改ai聊天对话,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,103,104,@PutMapping
23,qdata-server,ai,8080,POST,/ai/chatConversation/export,AiChatConversationController,export,导出ai聊天对话列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,73,74,@PostMapping
24,qdata-server,ai,8080,GET,/ai/chatConversation/list,AiChatConversationController,list,查询ai聊天对话列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,64,65,@GetMapping
25,qdata-server,ai,8080,DELETE,/ai/chatConversation/{ids},AiChatConversationController,remove,删除ai聊天对话,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,114,115,@DeleteMapping
26,qdata-server,ai,8080,GET,/ai/chatConversation/{id},AiChatConversationController,getInfo,获取ai聊天对话详细信息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatConversationController.java,83,84,@GetMapping
27,qdata-server,ai,8080,POST,/ai/chatMessage,AiChatMessageController,add,新增ai聊天消息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,92,93,@PostMapping
28,qdata-server,ai,8080,PUT,/ai/chatMessage,AiChatMessageController,edit,修改ai聊天消息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,103,104,@PutMapping
29,qdata-server,ai,8080,POST,/ai/chatMessage/export,AiChatMessageController,export,导出ai聊天消息列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,73,74,@PostMapping
30,qdata-server,ai,8080,GET,/ai/chatMessage/list,AiChatMessageController,list,查询ai聊天消息列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,64,65,@GetMapping
31,qdata-server,ai,8080,DELETE,/ai/chatMessage/{ids},AiChatMessageController,remove,删除ai聊天消息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,114,115,@DeleteMapping
32,qdata-server,ai,8080,GET,/ai/chatMessage/{id},AiChatMessageController,getInfo,获取ai聊天消息详细信息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/chat/AiChatMessageController.java,83,84,@GetMapping
33,qdata-server,ai,8080,POST,/ai/model,AiModelController,add,新增模型管理,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,94,95,@PostMapping
34,qdata-server,ai,8080,PUT,/ai/model,AiModelController,edit,修改模型管理,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,105,106,@PutMapping
35,qdata-server,ai,8080,GET,/ai/model/enableList,AiModelController,enableList,查询启用模型管理列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,75,76,@GetMapping
36,qdata-server,ai,8080,GET,/ai/model/list,AiModelController,list,查询模型管理列表,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,67,68,@GetMapping
37,qdata-server,ai,8080,DELETE,/ai/model/{ids},AiModelController,remove,删除模型管理,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,116,117,@DeleteMapping
38,qdata-server,ai,8080,GET,/ai/model/{id},AiModelController,getInfo,获取模型管理详细信息,qdata-module-ai/qdata-module-ai-biz/src/main/java/tech/qiantong/qdata/module/ai/controller/admin/model/AiModelController.java,85,86,@GetMapping
39,qdata-server,att,8080,POST,/att/apiCat,AttApiCatController,add,新增数据服务类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,104,105,@PostMapping
40,qdata-server,att,8080,PUT,/att/apiCat,AttApiCatController,edit,修改数据服务类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,115,116,@PutMapping
41,qdata-server,att,8080,POST,/att/apiCat/export,AttApiCatController,export,导出数据服务类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,73,74,@PostMapping
42,qdata-server,att,8080,POST,/att/apiCat/importData,AttApiCatController,importData,导入数据服务类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,84,85,@PostMapping
43,qdata-server,att,8080,GET,/att/apiCat/list,AttApiCatController,list,查询数据服务类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,64,65,@GetMapping
44,qdata-server,att,8080,DELETE,/att/apiCat/{ids},AttApiCatController,remove,删除数据服务类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,126,127,@DeleteMapping
45,qdata-server,att,8080,GET,/att/apiCat/{id},AttApiCatController,getInfo,获取数据服务类目管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttApiCatController.java,95,96,@GetMapping
46,qdata-server,att,8080,POST,/att/assetCat,AttAssetCatController,add,新增数据资产类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,104,105,@PostMapping
47,qdata-server,att,8080,PUT,/att/assetCat,AttAssetCatController,edit,修改数据资产类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,115,116,@PutMapping
48,qdata-server,att,8080,POST,/att/assetCat/export,AttAssetCatController,export,导出数据资产类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,73,74,@PostMapping
49,qdata-server,att,8080,POST,/att/assetCat/importData,AttAssetCatController,importData,导入数据资产类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,84,85,@PostMapping
50,qdata-server,att,8080,GET,/att/assetCat/list,AttAssetCatController,list,查询数据资产类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,64,65,@GetMapping
51,qdata-server,att,8080,GET,/att/assetCat/{ID},AttAssetCatController,getInfo,获取数据资产类目管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,95,96,@GetMapping
52,qdata-server,att,8080,DELETE,/att/assetCat/{ids},AttAssetCatController,remove,删除数据资产类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttAssetCatController.java,126,127,@DeleteMapping
53,qdata-server,att,8080,POST,/att/auditRule,AttAuditRuleController,add,新增稽查规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,107,108,@PostMapping
54,qdata-server,att,8080,PUT,/att/auditRule,AttAuditRuleController,edit,修改稽查规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,118,119,@PutMapping
55,qdata-server,att,8080,POST,/att/auditRule/export,AttAuditRuleController,export,导出稽查规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,75,76,@PostMapping
56,qdata-server,att,8080,POST,/att/auditRule/importData,AttAuditRuleController,importData,导入稽查规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,87,88,@PostMapping
57,qdata-server,att,8080,GET,/att/auditRule/list,AttAuditRuleController,list,查询稽查规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,66,67,@GetMapping
58,qdata-server,att,8080,GET,/att/auditRule/tree,AttAuditRuleController,tree,获取稽查规则树形结构,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,135,136,@GetMapping
59,qdata-server,att,8080,GET,/att/auditRule/{ID},AttAuditRuleController,getInfo,获取稽查规则详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,98,99,@GetMapping
60,qdata-server,att,8080,DELETE,/att/auditRule/{ids},AttAuditRuleController,remove,删除稽查规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttAuditRuleController.java,129,130,@DeleteMapping
61,qdata-server,att,8080,POST,/att/cleanCat,AttCleanCatController,add,新增清洗规则类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,108,109,@PostMapping
62,qdata-server,att,8080,PUT,/att/cleanCat,AttCleanCatController,edit,修改清洗规则类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,119,120,@PutMapping
63,qdata-server,att,8080,POST,/att/cleanCat/export,AttCleanCatController,export,导出清洗规则类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,78,79,@PostMapping
64,qdata-server,att,8080,POST,/att/cleanCat/importData,AttCleanCatController,importData,导入清洗规则类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,89,90,@PostMapping
65,qdata-server,att,8080,GET,/att/cleanCat/list,AttCleanCatController,list,查询清洗规则类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,69,70,@GetMapping
66,qdata-server,att,8080,GET,/att/cleanCat/listPage,AttCleanCatController,listPage,查询清洗规则类目列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,63,64,@GetMapping
67,qdata-server,att,8080,DELETE,/att/cleanCat/{ids},AttCleanCatController,remove,删除清洗规则类目,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,130,131,@DeleteMapping
68,qdata-server,att,8080,GET,/att/cleanCat/{id},AttCleanCatController,getInfo,获取清洗规则类目详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttCleanCatController.java,99,100,@GetMapping
69,qdata-server,att,8080,POST,/att/cleanRule,AttCleanRuleController,add,新增清洗规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,114,115,@PostMapping
70,qdata-server,att,8080,PUT,/att/cleanRule,AttCleanRuleController,edit,修改清洗规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,125,126,@PutMapping
71,qdata-server,att,8080,POST,/att/cleanRule/export,AttCleanRuleController,export,导出清洗规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,82,83,@PostMapping
72,qdata-server,att,8080,GET,/att/cleanRule/getCleaningRuleTree,AttCleanRuleController,getCleaningRuleTree,获取清洗规则树形结构,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,149,150,@GetMapping
73,qdata-server,att,8080,POST,/att/cleanRule/importData,AttCleanRuleController,importData,导入清洗规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,94,95,@PostMapping
74,qdata-server,att,8080,GET,/att/cleanRule/list,AttCleanRuleController,list,查询清洗规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,66,67,@GetMapping
75,qdata-server,att,8080,GET,/att/cleanRule/listAll,AttCleanRuleController,listAll,查询清洗规则列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,73,74,@GetMapping
76,qdata-server,att,8080,GET,/att/cleanRule/tree,AttCleanRuleController,tree,获取清洗规则树形结构,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,142,143,@GetMapping
77,qdata-server,att,8080,GET,/att/cleanRule/{ID},AttCleanRuleController,getInfo,获取清洗规则详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,105,106,@GetMapping
78,qdata-server,att,8080,DELETE,/att/cleanRule/{ids},AttCleanRuleController,remove,删除清洗规则,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/rule/AttCleanRuleController.java,136,137,@DeleteMapping
79,qdata-server,att,8080,POST,/att/client,AttClientController,add,新增应用管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,106,107,@PostMapping
80,qdata-server,att,8080,PUT,/att/client,AttClientController,edit,修改应用管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,114,115,@PutMapping
81,qdata-server,att,8080,POST,/att/client/export,AttClientController,export,导出应用管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,75,76,@PostMapping
82,qdata-server,att,8080,POST,/att/client/importData,AttClientController,importData,导入应用管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,86,87,@PostMapping
83,qdata-server,att,8080,GET,/att/client/list,AttClientController,list,查询应用管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,66,67,@GetMapping
84,qdata-server,att,8080,POST,/att/client/reset/secret,AttClientController,resetSecret,重置应用秘钥,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,130,131,@PostMapping
85,qdata-server,att,8080,DELETE,/att/client/{ids},AttClientController,remove,删除应用管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,122,123,@DeleteMapping
86,qdata-server,att,8080,GET,/att/client/{id},AttClientController,getInfo,获取应用管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientController.java,97,98,@GetMapping
87,qdata-server,att,8080,POST,/att/clientApiRel,AttClientApiRelController,add,新增应用API服务关联,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientApiRelController.java,69,70,@PostMapping
88,qdata-server,att,8080,PUT,/att/clientApiRel,AttClientApiRelController,edit,修改应用API服务关联,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientApiRelController.java,80,81,@PutMapping
89,qdata-server,att,8080,GET,/att/clientApiRel/list,AttClientApiRelController,list,查询应用API服务关联列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientApiRelController.java,60,61,@GetMapping
90,qdata-server,att,8080,DELETE,/att/clientApiRel/{ids},AttClientApiRelController,remove,删除应用API服务关联,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/client/AttClientApiRelController.java,91,92,@DeleteMapping
91,qdata-server,att,8080,POST,/att/dataDevCat,AttDataDevCatController,add,新增数据开发类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,126,127,@PostMapping
92,qdata-server,att,8080,PUT,/att/dataDevCat,AttDataDevCatController,edit,修改数据开发类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,137,138,@PutMapping
93,qdata-server,att,8080,GET,/att/dataDevCat/dataDevelopmentTaskCount/{id},AttDataDevCatController,getDataDevelopmentTaskCount,查询类目关联的数据开发任务数量,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,118,119,@GetMapping
94,qdata-server,att,8080,POST,/att/dataDevCat/export,AttDataDevCatController,export,导出数据开发类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,72,73,@PostMapping
95,qdata-server,att,8080,GET,/att/dataDevCat/hasDataDevelopmentTask/{id},AttDataDevCatController,hasDataDevelopmentTask,检查类目及其子类目下是否存在数据开发任务,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,102,103,@GetMapping
96,qdata-server,att,8080,POST,/att/dataDevCat/importData,AttDataDevCatController,importData,导入数据开发类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,83,84,@PostMapping
97,qdata-server,att,8080,GET,/att/dataDevCat/list,AttDataDevCatController,list,查询数据开发类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,63,64,@GetMapping
98,qdata-server,att,8080,GET,/att/dataDevCat/nameUsed,AttDataDevCatController,isNameUsed,检查同一上级类目下名称是否已被使用,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,109,110,@GetMapping
99,qdata-server,att,8080,DELETE,/att/dataDevCat/{ids},AttDataDevCatController,remove,删除数据开发类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,148,149,@DeleteMapping
100,qdata-server,att,8080,GET,/att/dataDevCat/{id},AttDataDevCatController,getInfo,获取数据开发类目管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataDevCatController.java,94,95,@GetMapping
101,qdata-server,att,8080,POST,/att/dataElemCat,AttDataElemCatController,add,新增数据元类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,105,106,@PostMapping
102,qdata-server,att,8080,PUT,/att/dataElemCat,AttDataElemCatController,edit,修改数据元类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,116,117,@PutMapping
103,qdata-server,att,8080,POST,/att/dataElemCat/export,AttDataElemCatController,export,导出数据元类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,74,75,@PostMapping
104,qdata-server,att,8080,POST,/att/dataElemCat/importData,AttDataElemCatController,importData,导入数据元类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,85,86,@PostMapping
105,qdata-server,att,8080,GET,/att/dataElemCat/list,AttDataElemCatController,list,查询数据元类目管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,65,66,@GetMapping
106,qdata-server,att,8080,DELETE,/att/dataElemCat/{ids},AttDataElemCatController,remove,删除数据元类目管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,127,128,@DeleteMapping
107,qdata-server,att,8080,GET,/att/dataElemCat/{id},AttDataElemCatController,getInfo,获取数据元类目管理详细信息,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDataElemCatController.java,96,97,@GetMapping
108,qdata-server,att,8080,POST,/att/documentCat,AttDocumentCatController,add,新增标准信息分类管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,102,103,@PostMapping
109,qdata-server,att,8080,PUT,/att/documentCat,AttDocumentCatController,edit,修改标准信息分类管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,113,114,@PutMapping
110,qdata-server,att,8080,POST,/att/documentCat/export,AttDocumentCatController,export,导出标准信息分类管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,82,83,@PostMapping
111,qdata-server,att,8080,GET,/att/documentCat/getAttDocumentCatList,AttDocumentCatController,getAttDocumentCatList,查询标准信息分类管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,72,73,@GetMapping
112,qdata-server,att,8080,GET,/att/documentCat/list,AttDocumentCatController,list,查询标准信息分类管理列表,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,64,65,@GetMapping
113,qdata-server,att,8080,DELETE,/att/documentCat/{id},AttDocumentCatController,remove,删除标准信息分类管理,qdata-module-att/qdata-module-att-biz/src/main/java/tech/qiantong/qdata/module/att/controller/admin/cat/AttDocumentCatController.java,124,125,@DeleteMapping
